question_id,source_file,unit_code,unit_name,institution,year,semester,paper_type,question_number,question_text,marks,question_type,difficulty,has_diagram,diagram_file,diagram_description,tags,model_solution,status
fc377861,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FOUR (b),The manufacturability of an engineering product is one of the key design factors that have to be considered early in the design cycle. Discuss FOUR practical steps that you can take to ease the manufacturability of an engineering product,8,explanation,medium,false,,,"design for manufacturability, engineering design",,extracted
b761a61e,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FOUR (c),"Noise is a nuisance in design and ought to be eliminated as much as possible. Suppose a part of your design product is making unnecessary noise, what FOUR things would you do to resolve the issue?",4,explanation,medium,false,,,"noise reduction, engineering design",,extracted
395b9ba9,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FOUR (d)(i),What is a machine element?,1,explanation,easy,false,,,"machine elements, mechanical engineering",,extracted
59848ef0,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FOUR (d)(ii),Differentiate between a clutch and a break,2,explanation,easy,false,,,"clutch, brake, mechanical engineering",,extracted
a6f6cc0d,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FOUR (d)(iii),Explain THREE factors that you would consider when selecting a bearing for a given task,3,explanation,medium,false,,,"bearing selection, mechanical engineering",,extracted
5d5f08d1,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FIVE (a),Discuss SIX factors that you would consider when determining the optimum factor of safety for an engineering component or product.,6,explanation,medium,false,,,"factor of safety, engineering design",,extracted
abe3e70b,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FIVE (b),Discuss how the information about materials used to make engineering design products is generated and stored.,3,explanation,medium,false,,,"material properties, engineering design",,extracted
9535ba78,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FIVE (c),Identify any THREE of the biggest issues facing humanity currently that may require an engineering solution and propose possible solutions for each,6,explanation,medium,false,,,"engineering solutions, global challenges",,extracted
49d85415,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,QUESTION FIVE (d),Explain FIVE differences between a model and a prototype,5,explanation,medium,false,,,"modeling, prototyping, engineering design",,extracted
6015d5f1,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (a),"As a young engineer involved in product design, describe any FOUR benefits of using CAD to actualize a product of your choice.",4,explanation,medium,false,,,"CAD, product design",,extracted
fe7e4650,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (b)(i),"Explain, with the help of diagrams, the functions of the following tools as used in CAD: Orthomode",3,explanation,medium,false,,,"CAD, Orthomode",,extracted
0367b259,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (b)(ii),"Explain, with the help of diagrams, the functions of the following tools as used in CAD: Trim",3,explanation,medium,false,,,"CAD, Trim",,extracted
b706a319,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (b)(iii),"Explain, with the help of diagrams, the functions of the following tools as used in CAD: Rectangular and polar array",3,explanation,medium,false,,,"CAD, Rectangular array, Polar array",,extracted
10d1637d,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (c),Describe the three Boolean operations commonly used for 3D editing.,3,explanation,medium,false,,,"Boolean operations, 3D editing",,extracted
a6548e72,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (d),Figure 1 shows the isometric projection of a machine bracket. Using AutoCAD:,7,sketch,medium,true,dataset/diagrams/2_2_EMM_Exams_pdf_Question_One__d__a6548e72.jpg,Isometric projection of a machine bracket,"AutoCAD, isometric projection",,extracted
2632071e,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (d)(i),Redraw the isometric projection.,7,sketch,medium,false,,,"AutoCAD, isometric projection",,extracted
931292a8,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (d)(ii),"Draw three orthographic views (Front, Top and Right) and show all the principle dimensions.",11,sketch,hard,false,,,"AutoCAD, orthographic views",,extracted
7fe07210,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question One (d)(iii),Use layers to group lines according to functions.,2,explanation,easy,false,,,"AutoCAD, layers",,extracted
5316662b,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question two,"Figure 2 shows the isometric projection of a machine bracket. Using AutoCAD:
Include a suitable title block Using text command input your credentials in the workspace",3,other,easy,true,dataset/diagrams/2_2_EMM_Exams_pdf_Question_two_5316662b.jpg,Isometric projection of a machine bracket,"AutoCAD, title block",,extracted
db46a893,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question three,"Figure 3 shows a 3D image, using AUTOCAD:
Include a suitable title block Using the text command input your credentials in the workspace",3,other,easy,true,dataset/diagrams/2_2_EMM_Exams_pdf_Question_three_db46a893.jpg,3D image,"AutoCAD, title block",,extracted
8f747591,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question four,"Figure 4 shows a 3D image, using AUTOCAD:
Include a suitable title block Using the text command input your credentials in the workspace",3,other,easy,true,dataset/diagrams/2_2_EMM_Exams_pdf_Question_four_8f747591.jpg,3D image,"AutoCAD, title block",,extracted
80db04fa,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Question five,"Figure 5 shows a 3D image, using AUTOCAD:
Include a suitable title block Using the text command input your credentials in the workspace",3,other,easy,true,dataset/diagrams/2_2_EMM_Exams_pdf_Question_five_80db04fa.jpg,3D image,"AutoCAD, title block",,extracted
91ac2574,2.2 EMM Exams.pdf,EMM 205,FLUID MECHANICS II,KENYATTA UNIVERSITY,2022,1,EXAMINATION,Q1,See the diagram to show the dimension of an object.,,other,easy,true,dataset/diagrams/2_2_EMM_Exams_pdf_Q1_91ac2574.jpg,Dimension of an object,,,extracted
f9cd8eb0,20210225_075638.jpg,EEE 208,ELECTRICAL MEASUREMENTS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(a),"Briefly explain the following classification of standards as used in measurements.
i. International standard
ii. Primary standard
iii. Secondary standard
iv. Working standard",6,explanation,easy,false,,,"Measurement Standards, International Standard, Primary Standard, Secondary Standard, Working Standard",,extracted
a94e5037,20210225_075638.jpg,EEE 208,ELECTRICAL MEASUREMENTS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(b),What are the merits and demerits of the digital measuring system over analogue measuring system?,5,explanation,medium,false,,,"Digital Measurement, Analogue Measurement, Instrumentation",,extracted
e8a38a80,20210225_075638.jpg,EEE 208,ELECTRICAL MEASUREMENTS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(c),A resistor has a nominal value of $200 \Omega \pm 1\%$. A voltage is applied and the power consumed is calculated using the expression $P = E^2/R$. Calculate the percentage expected uncertainty in measurement of power when the measured value of $E = 150V \pm 1\%$,5,calculation,medium,false,,,"Uncertainty Analysis, Power Measurement, Electrical Resistance, Error Propagation",,extracted
deb0a384,20210225_075638.jpg,EEE 208,ELECTRICAL MEASUREMENTS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(d),"Describe with clear schematic diagrams, how high voltage and currents are measured with the help of instrument transformers.",7,explanation,medium,true,,Schematic diagrams of high voltage and current measurement circuits using instrument transformers.,"Instrument Transformers, High Voltage Measurement, Current Measurement, Schematic Diagram",,extracted
4751c8c6,20210225_075638.jpg,EEE 208,ELECTRICAL MEASUREMENTS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(e),"The four arms of a Wheatstone bridge are as follows: $AB = 2000 \Omega$, $BC = 20000 \Omega$, $CD = 6000 \Omega$, $DA = 3000 \Omega$. A galvanometer with internal resistance of $200 \Omega$ and sensitivity of 10mm/mA is connected between AC, while a battery of $10V$ dc is connected between BD. Calculate the current through the galvanometer and its deflection if the resistance of arm DA is changed from $3000 \Omega$ to $3050 \Omega$.",7,calculation,medium,false,,,"Wheatstone Bridge, Galvanometer, Circuit Analysis",,extracted
5fbe4f8e,20210225_075649.jpg,,,,,,Other,Q2(a),Briefly explain scenarios where measurement instruments need calibration,6,explanation,medium,false,,,"measurement instruments, calibration",,extracted
02afc50f,20210225_075649.jpg,,,,,,Other,Q2(b),"A voltmeter having a sensitivity of 1000$\,\Omega$/V reads 100V on its 150V scale when connected across an unknown resistor in series with a milliammeter. When the milliammeter reads 5mA, calculate:
i.  the apparent resistance of the unknown resistor
ii. actual resistance of the unknown resistor
iii. Error due to the loading effect of the voltmeter",6,calculation,medium,false,,,"voltmeter, resistance measurement, loading effect",,extracted
52cee303,20210225_075649.jpg,,,,,,Other,Q2(c),"A moving-coil instrument gives the full-scale deflection of 10 mA when the potential difference across its terminals is 100 mV. Calculate
i.  the shunt resistance for a full-scale deflection corresponding to 100 A
ii. the series resistance for full scale reading with 1000 V.
Calculate the power dissipation in each case.",8,calculation,medium,false,,,"moving-coil instrument, shunt resistance, series resistance, power dissipation",,extracted
328f470a,20210225_075649.jpg,,,,,,Other,Q3(a),"What is an electrical transducer? Briefly explain, with the help of a diagram, the operation of capacitive transducer.",8,explanation,medium,true,,Capacitive transducer diagram,"electrical transducer, capacitive transducer",,extracted
4a47d266,20210225_075649.jpg,,,,,,Other,Q3(b),"The four arms of a Maxwell's inductance-capacitance bridge at balance are Arm $AB$: A choke coil $L_1$ with an equivalent series resistance $R_1$, Arm $BC$: A non-inductive resistance of 600 $\Omega$, Arm $CD$: A mica capacitor of 0.25 $\mu$F in parallel with a non-inductive resistance of 600 $\Omega$, Arm $DA$: A non-inductive resistance 600 $\Omega$. Supply is given between terminals $A$ and $C$ and, the detector is connected between nodes $B$ and $D$. Derive the equations for balance of the bridge and hence determine values of $L_1$ and $R_1$.",12,derivation,hard,false,,,"Maxwell bridge, inductance measurement, capacitance measurement, bridge balance",,extracted
6d900051,20210225_075649.jpg,,,,,,Other,Q4(a),"With the aid of a well labelled diagram, explain the elements of a measurement system.",8,explanation,medium,true,,measurement system diagram,"measurement system, instrumentation",,extracted
beb6756e,20210225_075649.jpg,,,,,,Other,Q4(b),"Three similar coils, each having a resistance of 5.0$\Omega$ and an inductive reactance of 4.15$\Omega$ are connected in (i) star and (ii) delta across a 415V, 3-phase supply. Calculate for each connection the readings on each of two watt-meters connected to measure the power by the two-wattmeter method.",12,calculation,hard,false,,,"3-phase power, two-wattmeter method, star connection, delta connection",,extracted
6b59001b,20210225_075654.jpg,,,,,,Other,Question FIVE (a),What are instrumental errors? Explain any three causes of instrumental errors.,6,explanation,medium,false,,,"instrumentation, error analysis",,extracted
a7f44549,20210225_075654.jpg,,,,,,Other,Question FIVE (b),"A current transformer has two turns on the primary winding and a secondary winding of 260 turns. The secondary winding is connected to an ammeter with a resistance of $0.2 \Omega$. The resistance of the secondary winding is $0.3 \Omega$. If the current in the primary winding is 650A, determine:
i. the reading on the ammeter,
ii. the potential difference across the ammeter,
iii. the total load in VA on the secondary.",6,calculation,medium,false,,,"transformers, current transformers, circuit analysis",,extracted
4bde3fff,20210225_075654.jpg,,,,,,Other,Question FIVE (c),"What are instrumental errors? Explain any three causes of instrumental errors. Two incandescent lamps with $80 \Omega$ and $120 \Omega$ resistances are connected in series with a 200 V dc source. Calculate the actual power consumed by $80 \Omega$ lamp using a voltmeter with internal resistance of $100 k\Omega$ and an ammeter with internal resistance of $0.1 m\Omega$, when
i. the voltmeter is connected nearer to the lamp than the ammeter
ii. the ammeter is connected nearer to the lamp than the voltmeter",8,calculation,medium,false,,,"measurement errors, loading effects, circuit analysis, power calculation",,extracted
32b0af8c,20210225_075703.jpg,EEE 210,AUTOCAD,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,1,f) Describe object snap and explain its functions?,5,explanation,easy,false,,,,,extracted
97d3a039,20210225_075703.jpg,EEE 210,AUTOCAD,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,2,"c) Describe how you can draw a circle of radius 500mm and mirror it, retain the original circle?",5,explanation,medium,false,,,,,extracted
5f2da74c,20210225_075703.jpg,EEE 210,AUTOCAD,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,3,"c) Explain the steps, commands and shapes you would use to draw the following object, create a copy and rotate the copy through 90 degrees then print the drawing on an A3 paper on a scale of 1:50?",10,explanation,hard,false,,,,,extracted
b59391f1,20210225_075713.jpg,,,,,,Other,4(a),Describe what a layer is in AutoCAD and highlight the importance of using layers,5,explanation,easy,false,,,"AutoCAD, layers",,extracted
7fdd4228,20210225_075713.jpg,,,,,,Other,4(b),Describe Layer freezing and explain its importance. Highlight whether it is possible to freeze the current layer.,5,explanation,medium,false,,,"AutoCAD, layers, freezing",,extracted
fc12c36e,20210225_075713.jpg,,,,,,Other,4(c),Describe Locking layers and give an example?,5,explanation,easy,false,,,"AutoCAD, layers, locking",,extracted
a8642d51,20210225_075713.jpg,,,,,,Other,4(d),"Explain what the following shortcut keys achieve in AutoCAD?
i) B+ enter:
ii) Z+enterA+enter:
iii) Ctrl+c:
iv) Ctrl+v:
v) X+enter:",5,explanation,medium,false,,,"AutoCAD, shortcuts",,extracted
fd2f2d9f,20210225_075713.jpg,,,,,,Other,5(a),Explain the steps you would take in placing smoke detectors in a rectangular room. Each heat detector covers an area of 100m².,5,explanation,medium,false,,,"HVAC, smoke detectors, layout",,extracted
92726ffa,20210225_075713.jpg,,,,,,Other,5(b),Describe the steps you would take to symmetrically place 6 lights in a rectangular room and state how to measure the distance between the light fittings?,10,explanation,hard,false,,,"lighting, layout, symmetry",,extracted
d9cffca4,20210225_075713.jpg,,,,,,Other,5(c),"Describe the process of drawing a rectangle and scaling it by a factor of 2, and then rotate it through 90 degrees?",5,explanation,medium,false,,,"geometric transformations, scaling, rotation",,extracted
648d1586,20210225_075721.jpg,EEE 209,FLUID MECHANICS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1,QUESTION ONE (Compulsory) - 30 marks,30,other,medium,false,,,,,extracted
5d0f34f2,20210225_075721.jpg,EEE 209,FLUID MECHANICS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(a),"Define the following terms:
i. Manometer
ii. Compressibility
iii. Coefficient of kinematic viscosity
iv. Vena contract a
v. Gauge pressure",5,explanation,easy,false,,,"fluid mechanics, manometer, compressibility, kinematic viscosity, vena contract, gauge pressure",,extracted
22609e7c,20210225_075721.jpg,EEE 209,FLUID MECHANICS,KENYATTA UNIVERSITY,2019/2020,2,End of Semester,Q1(b),"Distinguish between:
i. Laminar and turbulent flow
ii. Centre of pressure and centre of area
iii. Impulse and Reaction Turbines
iv. Turbines and Pumps Fans etc
v. Small and large orifices",10,explanation,medium,false,,,"fluid mechanics, laminar flow, turbulent flow, centre of pressure, impulse turbines, reaction turbines, pumps, fans, orifices",,extracted
88f5b2db,20210225_075732.jpg,,,,,,Other,c) i),The Kinematic viscosity of benzene is $7.45 \times 10^{-7} \frac{m^2}{sec}$. Its mass density is 850kg/m³. Calculate its coefficient of dynamic viscosity in $\frac{kg}{m.sec}$,2,calculation,easy,false,,,"fluid mechanics, dynamic viscosity, kinematic viscosity",,extracted
e843d1ed,20210225_075732.jpg,,,,,,Other,ii),Benzene is flowing through a horizontal 25mm diameter pipe at a velocity of 4.0m/se. Calculate the Reynolds number of flow at this velocity?,2,calculation,easy,false,,,"fluid mechanics, Reynolds number, pipe flow",,extracted
655a2c7e,20210225_075732.jpg,,,,,,Other,d),Show that water is practically incompressible compared to air,4,explanation,medium,false,,,"fluid mechanics, compressibility, water, air",,extracted
1ecc003b,20210225_075732.jpg,,,,,,Other,e),"Assuming that the atmospheric pressure is $101.3 \times 10^3 N/m^2$ find the absolute pressure at X in Fig 1 when:
i. Fluid A is water, Fluid B is mercury, (specific gravity 13.6), a = 1.0m, h=0.4
ii. Fluid A is oil (specific gravity 0.82) fluid B is brine (specific gravity 1.10) and a=0.2m h=0.55m.",3,calculation,medium,true,dataset/diagrams/20210225_075732_jpg_e__1ecc003b.jpg,U-tube manometer with two different fluids.,"fluid mechanics, pressure measurement, manometer",,extracted
6b84a3a6,20210225_075732.jpg,,,,,,Other,a),A plane surface area $Am^2$ is totally immersed in a liquid of specific weight N/m³. The surface is inclined at an angle $\theta$ of the horizontal and its centroid is at a vertical depth $\overline{y}$ m below the free surface. Devine an expression for the:,,derivation,medium,false,,,"fluid mechanics, hydrostatic force, inclined surface",,extracted
de5aafa7,20210225_075732.jpg,,,,,,Other,i.,Calculate the total force acting an one side of the plate.,4,calculation,medium,false,,,"fluid mechanics, hydrostatic force, inclined surface",,extracted
